|V|P|5|N|6|V|V|B|L|F|R|M|9|R|GRAY|
6|9|6|H|F|B|0|T|R|0|7|F|V|5|GREEN|
4|M|9|5|K|6|5|9|L|H|4|J|K|X|GREEN|
N|4|0|4|R|W|J|H|V|B|K|B|R|J|GREEN|
5|V|5|X|6|T|J|P|M|5|6|L|B|N|GREEN|
R|5|9|X|V|0|T|T|N|J|F|T|T|B|GREEN|
F|K|5|H|W|9|P|4|5|T|H|T|9|N|GREEN|
0|6|9|X|0|X|7|T|H|L|4|N|V|R|GREEN|
9|P|M|B|L|K|0|V|T|0|7|J|6|F|GREEN|
F|6|F|R|0|6|5|6|T|0|7|4|0|X|GREEN|
9|N|7|M|P|H|N|R|B|M|B|0|W|M|GREEN|
N|H|B|F|W|L|X|P|4|N|L|T|V|H|GREEN|
6|H|9|M|L|B|4|P|5|W|N|9|5|F|GREEN|
4|J|5|9|P|7|T|B|9|V|B|F|J|N|GREEN|
7|V|N|L|9|M|R|B|B|4|6|0|9|V|GREEN|
7|B|0|V|J|B|F|B|9|L|0|9|F|4|GREEN|
B|X|V|L|T|H|7|X|B|L|6|J|0|X|GREEN|
T|7|J|7|4|H|X|W|X|5|W|P|5|4|GREEN|
6|9|6|M|H|4|5|F|P|4|H|5|6|F|GREEN|
5|F|W|4|9|V|J|6|B|W|0|V|6|N|GREEN|
V|T|N|R|B|5|F|0|H|J|K|5|6|V|GREEN|
4|T|7|R|J|0|6|4|J|K|M|N|L|4|GREEN|
H|X|M|K|P|6|M|4|J|V|5|T|7|9|GREEN|
4|P|B|9|0|5|F|7|6|X|P|X|H|T|RED|
V|V|J|M|0|K|R|M|0|F|J|4|H|P|RED|
F|F|X|K|R|H|N|V|H|5|P|P|N|R|MINUTEMAID|
B|R|F|P|5|7|5|7|7|L|J|M|J|J|RED|
R|L|4|M|X|K|F|4|B|J|M|F|M|6|RED|
P|J|K|F|B|9|X|M|6|M|9|L|N|5|GRAY|
P|7|P|N|K|H|0|4|N|V|N|7|K|4|POWERADE|
B|P|7|N|F|F|J|7|M|B|K|B|M|4|RED|
4|4|0|W|6|L|N|4|0|X|M|R|L|7|RED|
0|P|P|L|V|T|N|W|6|V|V|V|4|J|RED|
5|R|N|B|0|W|J|K|X|R|J|B|0|J|RED|
6|N|B|V|P|L|9|K|F|W|R|W|5|K|POWERADE|
F|W|R|5|9|N|R|0|R|R|5|N|H|L|POWERADE|
9|X|X|W|X|K|M|X|V|N|7|K|H|9|POWERADEZERO|
J|N|P|K|M|0|F|6|J|T|0|P|R|L|COKEZERO24PACK|
V|F|X|4|F|W|0|7|4|5|H|F|T|J|RED|
7|4|L|K|7|V|R|F|F|P|R|P|0|7|POWERADE|
F|X|K|L|5|9|0|X|7|9|0|4|P|5|POWERADE|
P|7|R|7|R|7|V|W|K|X|M|K|7|R|POWERADE|
4|K|F|H|9|0|7|K|W|5|V|H|W|T|POWERADE|
N|H|K|0|5|W|5|7|T|L|7|6|4|W|RED|
6|P|5|F|W|7|P|K|K|0|W|6|9|M|POWERADEZERO|
V|B|X|J|X|6|W|K|4|6|R|7|H|4|RED|
P|9|F|0|B|H|P|B|V|H|N|0|N|B|COKEZERO12PACK|
7|M|B|B|V|5|9|0|K|L|0|P|X|J|SPRITE12PACK|
N|N|5|K|6|P|4|F|H|V|T|V|M|6|COKEZERO12PACK|
5|5|P|F|0|4|9|W|K|R|4|R|K|F|RED|
5|N|0|F|B|9|M|F|M|J|5|B|B|F|GREEN|
T|N|V|5|T|B|B|V|V|M|W|H|6|R|POWERADE|
5|V|9|6|M|T|4|W|T|X|K|T|4|9|POWERADE|
N|H|L|B|9|K|L|0|4|K|4|P|V|V|COKEZERO12PACK|
V|7|P|V|B|L|7|6|L|V|0|N|K|0|COKE12PACK|
B|J|T|W|T|M|R|F|P|H|9|4|M|X|MINUTEMAID|
F|9|6|6|V|9|N|X|K|6|L|W|J|B|GREEN|
R|P|7|6|X|7|M|B|X|H|6|X|9|T|GREEN|
T|T|K|B|0|H|4|0|T|R|M|J|M|4|RED|
5|R|K|N|4|P|6|9|W|X|K|0|0|B|MINUTEMAID|
7|7|H|T|4|M|N|B|F|N|0|W|L|V|GREEN|
R|V|9|W|H|5|R|J|K|F|R|N|4|R|GREEN|
7|4|R|H|K|R|0|T|4|5|0|F|4|K|GREEN|
4|9|4|B|9|7|0|5|4|W|5|M|N|R|COKEZERO12PACK|
B|B|M|W|V|4|V|N|9|X|0|4|W|4|POWERADE|
N|N|P|V|M|X|7|9|R|N|T|X|6|0|POWERADE|
7|4|9|K|4|T|P|7|5|W|5|B|7|5|COKEZERO12PACK|
9|M|W|5|W|J|X|J|L|4|F|6|P|R|SPRITE24PACK|
P|T|4|N|P|M|6|M|F|P|F|H|M|9|POWERADE|
B|4|5|9|P|4|X|7|W|W|L|7|R|R|POWERADE|
T|5|V|W|9|5|T|R|X|M|P|7|R|P|RED|
5|V|V|6|M|R|W|K|N|R|M|X|W|T|BLACK|
F|R|T|V|L|K|W|J|K|X|W|W|V|0|BLACK|
N|9|4|B|L|9|J|7|H|K|N|B|J|4|GREEN|
7|T|9|N|P|L|0|H|J|R|P|9|X|M|POWERADE|
V|0|M|M|P|W|P|M|4|L|X|F|B|X|MINUTEMAID|
0|W|B|V|B|F|4|9|N|B|H|X|T|6|MINUTEMAID|
R|R|K|7|B|4|K|F|T|H|V|H|X|4|POWERADE|
H|4|J|M|0|X|H|R|X|0|R|W|W|R|BLACK|
0|L|6|B|J|7|F|5|6|0|K|R|9|5|MINUTEMAID|
B|K|7|N|6|H|B|M|H|0|L|T|9|6|MINUTEMAID|
V|5|0|K|5|4|N|M|L|J|H|J|F|R|POWERADE|
4|L|X|K|9|0|6|J|7|R|K|M|F|N|MINUTEMAID|
N|6|X|W|X|V|L|5|T|0|N|W|4|P|MINUTEMAID|
0|V|F|6|B|7|W|X|W|V|V|X|F|H|MINUTEMAID|
F|6|P|4|0|0|4|V|0|R|L|X|5|6|MINUTEMAID|
6|W|L|H|5|B|M|J|F|0|6|4|M|V|MINUTEMAID|
P|N|7|5|P|N|0|T|6|R|K|V|F|H|BLACK|
N|M|4|9|B|9|M|4|5|6|B|H|X|6|GREEN|
H|P|5|6|B|F|6|L|X|4|V|K|4|B|RED|
6|W|L|H|5|B|M|J|F|0|6|4|M|V|MINUTEMAID|
F|T|N|T|T|F|K|0|R|R|6|J|4|X|GREEN|
4|6|6|5|V|9|L|R|V|R|X|K|4|R|GREEN|
0|4|9|P|0|T|V|K|F|5|9|5|T|6|GREEN|
6|P|5|9|W|B|6|M|K|W|R|0|M|9|GREEN|
6|V|J|X|M|T|W|0|P|L|H|R|5|T|GREEN|
0|P|W|4|0|0|X|B|4|J|W|L|X|9|DASANI24PACK|
6|9|K|N|5|X|P|5|X|F|0|7|4|J|RED|
F|N|H|0|L|V|M|M|R|V|H|P|P|X|RED|
4|N|5|N|9|5|6|V|7|P|V|V|4|F|RED|
4|6|P|H|B|N|H|7|6|P|7|B|5|F|GREEN|
V|K|R|K|6|P|4|0|0|F|F|B|F|9|GREEN|
0|7|5|M|V|K|P|P|J|X|7|P|R|6|RED|
4|7|W|R|4|P|7|L|0|4|W|7|H|M|RED|
H|B|H|J|M|N|L|5|9|X|T|5|N|B|RED|
F|J|M|F|X|6|W|R|R|T|R|L|0|4|RED|
4|K|L|X|J|0|4|R|K|R|F|5|N|L|BLACK|
H|4|0|N|F|0|7|9|7|V|9|5|4|J|GREEN|
7|5|9|X|6|L|B|K|V|P|4|F|5|9|COKEZERO24PACK|
4|X|6|H|5|M|6|9|J|K|H|H|0|B|RED|
N|J|V|J|L|X|P|H|F|M|P|7|9|N|RED|
T|6|M|P|X|H|T|X|0|B|K|F|7|N|RED|
0|4|B|B|V|P|4|J|L|N|6|4|V|9|RED|
V|P|R|K|7|0|R|P|B|H|R|9|F|7|RED|
9|V|B|P|9|9|J|W|7|7|K|7|X|R|COKEZERO12PACK|
